,Posted,Job Title,Company,LINK,Location
0,2022-12-06,Python Software Developer,PwC Romania,https://ro.linkedin.com/jobs/view/python-software-developer-at-pwc-romania-3389329590?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=3fv%2BLHENo2YkhY0OqnMHlA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
1,2022-11-18,Python Developer,RCS & RDS,https://ro.linkedin.com/jobs/view/python-developer-at-rcs-rds-3366667101?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=tsgtdNW0x56P8gGALALzlw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
2,2022-12-06,Python Developer,ZeroBounce,https://ro.linkedin.com/jobs/view/python-developer-at-zerobounce-3387401160?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=VEub4EkAYsntCOgdvw2G9Q%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,Romania
3,2022-12-08,Python Developer,ALTEN Romania,https://ro.linkedin.com/jobs/view/python-developer-at-alten-romania-3392252867?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=PmA3T3erkqFgKoAV1rJk1g%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Romania
4,2022-11-14,Python Developer,Inetum,https://ro.linkedin.com/jobs/view/python-developer-at-inetum-3360293230?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=UceslxytrNk0wvWN%2Flpe4g%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
5,2022-12-13,Python Developer,Pentalog,https://ro.linkedin.com/jobs/view/python-developer-at-pentalog-3399264155?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=mG3%2F4vYhUi4LOP08hh%2F2kQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Romania
6,2022-11-14,Python Developer,Be | Shaping the Future,https://ro.linkedin.com/jobs/view/python-developer-at-be-shaping-the-future-3359995605?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=561xz9brCz2QZWXNk1nAXg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Romania
7,2022-11-22,Python Developer,_VOIS,https://ro.linkedin.com/jobs/view/python-developer-at-vois-3370829526?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=pZKvUPjd%2FPVrusXfZ5tM%2Bw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
8,2022-11-28,Python Developer (Data Engineering team),Bitdefender,https://ro.linkedin.com/jobs/view/python-developer-data-engineering-team-at-bitdefender-3338180988?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=Hxad0CEFnIGQ%2BMeQrghpzw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
9,2022-11-28,Python Software Developer,Sustainalytics,https://ro.linkedin.com/jobs/view/python-software-developer-at-sustainalytics-3373531250?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=YrJeEQ2i9ATxBva6Tv0Sdw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Bucharest Metropolitan Area
10,2022-12-13,Python Developer,SII Romania,https://ro.linkedin.com/jobs/view/python-developer-at-sii-romania-3398442656?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=mU5uQVU%2BeC8E7lCV0urjXg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
11,2022-12-12,Senior Python Developer,Deutsche Bank,https://ro.linkedin.com/jobs/view/senior-python-developer-at-deutsche-bank-3366638054?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=%2Bw5kdrYrWhirqSGIHYGwiA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
12,2022-11-26,Python Developer,Accenture,https://ro.linkedin.com/jobs/view/python-developer-at-accenture-3376440378?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=MMo3DCY1e9GUxsKmRrKXnA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
13,2022-12-12,Backend Developer - Python (Abu Dhabi),Talent500,https://ro.linkedin.com/jobs/view/backend-developer-python-abu-dhabi-at-talent500-3397197557?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=KsA8Ke%2F2vC8qL7Vi6ByqLw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,Romania
14,2022-12-08,Python Development Engineer,ThreatConnect,https://ro.linkedin.com/jobs/view/python-development-engineer-at-threatconnect-3392292894?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=VoSCWxqaB7ylmveifbU47w%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,Romania
15,2022-11-22,Python Developer,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-at-luxoft-3328623248?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=uJmTvvo9%2FMvPLZ0yQAGnkg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,Romania
16,2022-11-22,"Python Software Engineer for Automated Driving, Engineering Center, Cluj",Bosch Romania,https://ro.linkedin.com/jobs/view/python-software-engineer-for-automated-driving-engineering-center-cluj-at-bosch-romania-3370994205?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=aFA5JwFryWblRFUL4pz%2FeA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
17,2022-11-26,Python Developer,Accenture,https://ro.linkedin.com/jobs/view/python-developer-at-accenture-3376440379?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=6aVIIfxD9cIv%2BXCt2Fv59w%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,"Braşov, Braşov, Romania"
18,2022-11-26,Python Developer,Accenture,https://ro.linkedin.com/jobs/view/python-developer-at-accenture-3376440377?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=sDfrr07fld%2BZeeDcN5Lg0w%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,"Iași, Braşov, Romania"
19,2022-11-17,Software Engineer (Python),LSEG (London Stock Exchange Group),https://ro.linkedin.com/jobs/view/software-engineer-python-at-lseg-london-stock-exchange-group-3357589376?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=wWfcqGqIod%2F1JbzKHtMrqA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
20,2022-12-06,Python Developer,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-at-luxoft-3303162762?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=Awl2QfqpcFdfK%2BdpNqs7BA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,Romania
21,2022-12-12,Senior Backend Developer (Python),Deutsche Bank,https://ro.linkedin.com/jobs/view/senior-backend-developer-python-at-deutsche-bank-3366644139?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=5vNchuTPr5hLCKgpswcpmg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
22,2022-11-26,Python Developer,Accenture,https://ro.linkedin.com/jobs/view/python-developer-at-accenture-3376438464?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=d4dlHyWIRcbQMbz8WjDMuQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
23,2022-12-07,Python developer,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-at-luxoft-3266189692?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=w6X7c3NN%2BpwLuqxmxsia9g%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,Bucharest Metropolitan Area
24,2022-11-26,Python Developer,Accenture,https://ro.linkedin.com/jobs/view/python-developer-at-accenture-3376434859?refId=oZQKJRmSIF8WCr%2FCi0kJSg%3D%3D&trackingId=9rOVzingmiPePKdSSioBJg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,Timisoara Metropolitan Area
25,2022-11-26,Python Developer,Accenture,https://ro.linkedin.com/jobs/view/python-developer-at-accenture-3376439358?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=U9vvna5HHbpWCWhRRa5qow%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,Targu Mures Metropolitan Area
26,2022-11-29,Python Developer,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-at-luxoft-2865634031?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=eZ9msIpOEcHUnNXqigVyxw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,Romania
27,2022-12-02,Python Data Developer,Sustainalytics,https://ro.linkedin.com/jobs/view/python-data-developer-at-sustainalytics-3384322423?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=vHTEJ4DH%2FT5T02373AUbfA%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
28,2022-12-09,Senior Python Developer,Accenture Romania,https://ro.linkedin.com/jobs/view/senior-python-developer-at-accenture-romania-3371133252?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=4Kz%2Fo7WWwb92lpyiK74CKw%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,Romania
29,2022-12-05,Python Developer,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-at-luxoft-3387963592?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=fX322VFBTE2%2F%2FI8GPOO79g%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
30,2022-11-14,#5422 - Senior Python Developer (CIM/PFA/SRL) - Fully Remote,Qualitest,https://ro.linkedin.com/jobs/view/%235422-senior-python-developer-cim-pfa-srl-fully-remote-at-qualitest-3389795812?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=knbKuJDQkwj7QkMGCNNwIQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
31,2022-12-12,Senior Software Developer - Python,LSEG (London Stock Exchange Group),https://ro.linkedin.com/jobs/view/senior-software-developer-python-at-lseg-london-stock-exchange-group-3169462419?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=SwnGR%2FpTsqVhEJ4dyEGwkQ%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,Romania
32,2022-11-15,Regular Python Developer,Luxoft,https://ro.linkedin.com/jobs/view/regular-python-developer-at-luxoft-3361075851?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=%2FKvQIMRej2I%2BDhWJqnWyog%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
33,2022-12-08,Senior Python Developer,ALTEN Romania,https://ro.linkedin.com/jobs/view/senior-python-developer-at-alten-romania-3362582006?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=g8UzB99rbX%2FYL%2FIMlwGacA%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,Romania
34,2022-11-28,Software Engineer [Python / CDN],Gcore,https://ro.linkedin.com/jobs/view/software-engineer-python-cdn-at-gcore-3378264766?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=u2AIBsSsgK%2FePrldSMBxhQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,Romania
35,2022-11-24,Software Engineer - Python,Splend,https://ro.linkedin.com/jobs/view/software-engineer-python-at-splend-3366922856?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=bxlKbNV2Dnk%2FHwJr9Jtgvg%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
36,2022-11-22,Middle Python Developer,Luxoft,https://ro.linkedin.com/jobs/view/middle-python-developer-at-luxoft-3370700388?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=fFYmKbd%2BUzNhhSWqTFLi8g%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,Romania
37,2022-11-21,Junior Full Stack Developer,Greppy Systems,https://ro.linkedin.com/jobs/view/junior-full-stack-developer-at-greppy-systems-3389556340?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=shhox3GnKAVigQ0IS1Mivw%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
38,2022-12-08,Python Software Developer,Luxoft,https://ro.linkedin.com/jobs/view/python-software-developer-at-luxoft-3147349611?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=DgqVIFRVPySH9u1uDcpRRA%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card,Romania
39,2022-11-28,Team Lead Python Engineer,TurnKey Labs,https://ro.linkedin.com/jobs/view/team-lead-python-engineer-at-turnkey-labs-3378276002?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=izHywY8lc8%2Fu9yTGeJvpDQ%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,Romania
40,2022-12-02,Python Data Developer,Sustainalytics,https://ro.linkedin.com/jobs/view/python-data-developer-at-sustainalytics-3384326186?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=9GQ%2FYM1AKfD7UFWnfeNNJA%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card,"Timişoara, Timiş, Romania"
41,2022-12-06,Python Development Engineer for Braking System,ZF Group,https://ro.linkedin.com/jobs/view/python-development-engineer-for-braking-system-at-zf-group-3226708262?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=X6fw6WuSsmQyvDXImTHRhQ%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card,"Timişoara, Timiş, Romania"
42,2022-11-29,Regular Python Developer,Luxoft,https://ro.linkedin.com/jobs/view/regular-python-developer-at-luxoft-3380140167?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=bR22RmHxQ1Od6MuHCgYUXQ%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,Romania
43,2022-12-05,Python Test Automation Engineer,Accenture Romania,https://ro.linkedin.com/jobs/view/python-test-automation-engineer-at-accenture-romania-3385674062?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=KKVHX4CXZPcdRIQE8nj8vg%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card,"Cluj, Romania"
44,2022-11-14,Python Software Developer,Luxoft,https://ro.linkedin.com/jobs/view/python-software-developer-at-luxoft-3009210294?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=%2BGT7ZTbjimKxSC3se92cFA%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,Romania
45,2022-11-21,Senior Django/Python Developer,CREATEQ,https://ro.linkedin.com/jobs/view/senior-django-python-developer-at-createq-3365648834?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=3ICCyI1NxZPfL3BXmYWnog%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card,"Iaşi, Iaşi, Romania"
46,2022-11-23,Python/Data Modelling Developer,Luxoft,https://ro.linkedin.com/jobs/view/python-data-modelling-developer-at-luxoft-3372443834?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=vGFOeuGIyG%2FSySMUcvdFCA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
47,2022-12-05,Python Software Developer,Luxoft,https://ro.linkedin.com/jobs/view/python-software-developer-at-luxoft-3008126275?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=am9Ko%2FDezxYq4Qb0Hf9lkw%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card,"Braşov, Romania"
48,2022-11-23,Web Developer Trainee,BRD - Groupe Societe Generale,https://ro.linkedin.com/jobs/view/web-developer-trainee-at-brd-groupe-societe-generale-3372646269?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=z1TZb%2F8OdnsGsj6d8LI2Bw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card,Romania
49,2022-12-05,Senior Python Developer,3Pillar Global,https://ro.linkedin.com/jobs/view/senior-python-developer-at-3pillar-global-3086635954?refId=5ir4yrNwvkSsTxzSYNvEiA%3D%3D&trackingId=q45Bd7neyg%2FvN0dt0DWdyw%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card,Romania
50,2022-12-07,System Engineering Expert - ML/AI,Vodafone,https://ro.linkedin.com/jobs/view/system-engineering-expert-ml-ai-at-vodafone-3354785780?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=TVCN9cU%2F132CWab2gp92qA%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
51,2022-11-29,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3379675986?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=FYnlzkc7pbV1taRZ59GO6Q%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card,"Sibiu, Sibiu, Romania"
52,2022-12-06,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3389832338?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=BL9xQnk2znPc4SGkBUpf%2Bg%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
53,2022-12-06,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3389836847?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=xZ2wLry2SFSnUqQ3685i4w%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card,"Galaţi, Galaţi, Romania"
54,2022-11-29,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3379680261?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=QPcLWrviLa357tbPCdGykA%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
55,2022-12-05,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3387984848?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=lyTrzqLI9a%2FBa6ow43s5Aw%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card,Romania
56,2022-12-05,Python Software Developer,Luxoft,https://ro.linkedin.com/jobs/view/python-software-developer-at-luxoft-3008126313?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=13gG40FXp4KaI7ypAQzUsg%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card,"Timişoara, Timiş, Romania"
57,2022-12-08,Senior Python and Elastic Search Engineer,PharmaForceIQ,https://ro.linkedin.com/jobs/view/senior-python-and-elastic-search-engineer-at-pharmaforceiq-3388581023?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=aQv9eagfkh%2BNc7SOparW0Q%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card,Romania
58,2022-12-12,Python Developer (backend with DevOps),Luxoft,https://ro.linkedin.com/jobs/view/python-developer-backend-with-devops-at-luxoft-3237782597?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=6PTff1Gs8UfbW5FKaN%2FkVA%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
59,2022-12-13,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3394083385?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=Qb1wI%2F%2BsQ1g08DLVC5RJAg%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card,Romania
60,2022-11-14,Python and C developer on Linux,Luxoft,https://ro.linkedin.com/jobs/view/python-and-c-developer-on-linux-at-luxoft-3039674791?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=MMstYuPHriu68tKfWVnmNQ%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card,Romania
61,2022-12-06,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3389834615?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=lRaGVf5oCjZVMvtmOjijMA%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
62,2022-11-29,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3380297843?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=NIWdyFIn%2F%2Bs8mO%2F3evXIvw%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card,Romania
63,2022-12-06,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3389834943?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=gLFUxImmo0uD92YeERPa5Q%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card,"Sibiu, Sibiu, Romania"
64,2022-11-15,Regular Python Software Engineer,Luxoft,https://ro.linkedin.com/jobs/view/regular-python-software-engineer-at-luxoft-3361168538?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=neVCwZfTQmVOOOB0Ze7U4Q%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card,Bucharest Metropolitan Area
65,2022-12-06,Middle Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/middle-python-developer-with-networking-at-luxoft-3389356421?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=cVD%2Fh3u8JdRihQsnT2luZA%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card,Romania
66,2022-12-12,Python Developer (backend with DevOps),Luxoft,https://ro.linkedin.com/jobs/view/python-developer-backend-with-devops-at-luxoft-3237789059?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=JgVnTlSJeLgMPgf54dMtbA%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card,"Cluj, Romania"
67,2022-12-12,Python Developer (backend with DevOps),Luxoft,https://ro.linkedin.com/jobs/view/python-developer-backend-with-devops-at-luxoft-3237783734?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=Ykcpl6XqRJnPYDQIAQ6%2Brg%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card,"Braşov, Romania"
68,2022-11-29,Regular Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/regular-python-developer-with-networking-at-luxoft-3380134687?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=zsyPGWWBL%2FX7dqnAjJbQQA%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card,Romania
69,2022-11-29,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3379675752?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=BYP2D%2F6mz%2BSPtuC5LZDC6Q%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card,"Iaşi, Iaşi, Romania"
70,2022-11-29,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3379680639?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=46Hs%2F8CWv%2Fp72sxGzaBOYA%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card,"Craiova, Dolj, Romania"
71,2022-11-15,Junior Web Developer (m/f/d),Mitsui Chemicals Group,https://ro.linkedin.com/jobs/view/junior-web-developer-m-f-d-at-mitsui-chemicals-group-3385146569?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=H0CbXRUiS9BOtsunfbTGEw%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
72,2022-12-13,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3399218959?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=xHpQdWTajetJNZAGsbo0VQ%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
73,2022-11-29,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3379682432?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=wTofxOY5NH%2B1cJoBVURfJw%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card,"Braşov, Braşov, Romania"
74,2022-11-28,Middle Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/middle-python-developer-with-networking-at-luxoft-3378411347?refId=rWlE07QkZY%2FPgeM3Xt7Bwg%3D%3D&trackingId=AC8x8Pb0%2FKYEV%2Be7pFV2%2Bw%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card,Romania
75,2022-12-06,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3389834453?refId=cDxyA7%2B6GnfSh%2FwQTcwHpw%3D%3D&trackingId=ajkcOuanQzZpx7h78QxW1w%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card,"Iaşi, Iaşi, Romania"
76,2022-11-29,Python Developer with Networking,Luxoft,https://ro.linkedin.com/jobs/view/python-developer-with-networking-at-luxoft-3379675842?refId=cDxyA7%2B6GnfSh%2FwQTcwHpw%3D%3D&trackingId=O5IH%2B%2Fvmyc6zYyqS0dES0g%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
77,2022-11-14,Senior Python Developer,Luxoft,https://ro.linkedin.com/jobs/view/senior-python-developer-at-luxoft-3059834153?refId=cDxyA7%2B6GnfSh%2FwQTcwHpw%3D%3D&trackingId=G8nwXz42hXKz5KLO%2F8c0Zg%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card,Romania
78,2022-12-05,Senior Python Developer,3Pillar Global,https://ro.linkedin.com/jobs/view/senior-python-developer-at-3pillar-global-3086636837?refId=cDxyA7%2B6GnfSh%2FwQTcwHpw%3D%3D&trackingId=o%2BBepCPlpynE4IbY44IJCg%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
